Rk,Class Year,Height,Player,Team,Conf,Min%,PRPG!,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,2-point field goal percentage,3P/100,3P,3-point field goal percentage,Year
1,Fr,'6-7',Zion Williamson,Duke,ACC,64.9,6.8,18.7,129.2,28.2,70.8,70.2,12.8,18,15,15.2,5.8,3.9,46.7,272-364,0.747,3.9,'24-71',0.338,2019
2,Jr,'6-1',Cassius Winston,Michigan St.,B10,83.3,6.6,9.6,120,29.5,54,59.1,1.3,7.9,44.8,17.5,0.3,1.8,36.7,159-317,0.502,9.5,'84-211',0.398,2019
3,Sr,'5-9',Chris Clemons,Campbell,BSth,93.9,6.5,8,115.6,37.4,53.6,59.9,2.5,14,19.4,10.8,1,2.5,42.5,149-266,0.56,19.4,'128-370',0.346,2019
4,So,'6-3',Ja Morant,Murray St.,OVC,93.5,6.4,10,115.6,36,54.7,60.8,4.1,12.6,51.4,22,2.2,2.4,51,194-356,0.545,7.3,'56-152',0.368,2019
5,Jr,'6-7',Grant Williams,Tennessee,SEC,78.6,6.1,11.8,124.5,27,58.3,64.7,8.8,17.4,18.3,15.2,5.3,2,63.7,215-361,0.596,2.2,'14-44',0.318,2019
6,Sr,'6-2',Justin Wright-Foreman,Hofstra,CAA,92.8,6.1,6,120.7,31.5,59.6,63.7,1.2,11.4,17.6,13.2,0.6,1.4,32.1,217-382,0.568,11.6,'108-254',0.425,2019
7,Jr,'6-1',Carsen Edwards,Purdue,B10,87.3,6,7.5,108,34.8,49,54.1,1.3,10.7,18.3,15.5,1,2.3,31.4,142-323,0.44,18.2,'135-380',0.355,2019
8,Jr,'6-1',Jordan Ford,Saint Mary's,WCC,91.9,6,7.5,119.9,27.5,55.7,59.5,1.7,7.7,14.9,11.7,0.1,2.1,32.6,185-351,0.527,8.5,'70-170',0.412,2019
9,Jr,'5-11',Markus Howard,Marquette,BE,82.8,5.8,7.2,110.7,36.2,52,59,1.5,11.2,27.3,18.4,0.1,1.8,42.5,132-302,0.437,14.8,'120-298',0.403,2019
10,Sr,'6-9',Mike Daum,South Dakota St.,Sum,83.7,5.6,6.5,120.8,32.3,57.4,62.3,8.8,28,11,11.4,3.6,1.2,41.1,211-366,0.577,9.1,'67-177',0.379,2019
11,Jr,'6-8',Brandon Clarke,Gonzaga,WCC,70.2,5.6,15.4,134.3,24,69.3,69.9,13.9,19.7,12.1,12.7,10.8,2.3,42,253-359,0.705,0.8,'4-15',0.267,2019
12,Sr,'6-1',Daishon Smith,Louisiana Monroe,SB,78.8,5.5,8,123.3,27.6,57,63,2.4,13,24.5,13.2,0.2,3.6,46.4,82-158,0.519,14.6,'109-273',0.399,2019
13,So,'6-7',De'Andre Hunter,Virginia,ACC,80.4,5.5,9.4,122.9,23.5,57.9,61.8,5.6,13.4,13,11.8,2.4,1.2,39.8,159-289,0.55,5.6,'46-105',0.438,2019
14,Sr,'6-8',Matt Rafferty,Furman,SC,84.3,5.4,12.8,127.9,25,61.6,65.2,9.7,21.7,25.1,15.4,3.7,4.5,47.9,190-304,0.625,1.4,'8-24',0.333,2019
15,Jr,'6-5',Sam Merrill,Utah St.,MWC,88.4,5.4,7.2,123.2,25.3,54.1,60.9,1.1,10.9,23.6,12.3,0.8,1.6,42,137-259,0.529,10.5,'82-222',0.369,2019
16,Jr,'6-3',Grant Riller,Charleston,CAA,88.1,5.4,5.7,120.9,30.1,58.4,62.4,2.2,10.2,25.7,13.1,0.2,2.1,38.3,210-339,0.619,7.3,'45-136',0.331,2019
17,Jr,'6-9',Dedric Lawson,Kansas,B12,80.8,5.4,9.7,114.4,28.5,52.5,57.8,11,23.2,11.1,14,3.7,2.2,40.4,214-419,0.511,4.3,'35-89',0.393,2019
18,Fr,'6-7',R.J. Barrett,Duke,ACC,87.9,5.4,7.2,108,31.3,50.6,53.2,4.8,17.2,23.5,15.9,1.2,1.4,31.9,246-465,0.529,9.6,'73-237',0.308,2019
19,Jr,'6-5',Ty Jerome,Virginia,ACC,81.8,5.3,10.3,119.1,24.1,53.2,55.5,1.8,13,32.6,13.3,0.1,3,22.2,99-211,0.469,10.4,'79-198',0.399,2019
20,Jr,'6-1',Shamorie Ponds,St. John's,BE,84.3,5.3,9,116.8,27.6,52.2,57.7,3.1,10.3,29,11.3,0.9,4.1,38.4,151-292,0.517,8.8,'65-184',0.353,2019
21,Sr,'6-3',CJ Massinburg,Buffalo,MAC,78.1,5.3,10.1,127.6,22.7,57,61.4,6.6,13.6,15,9.7,0.9,1.9,44.4,101-189,0.534,11.2,'92-230',0.4,2019
22,Jr,'6-8',Tres Tinkle,Oregon St.,P12,87.4,5.3,8.2,113.2,29.2,54.3,58.6,6.8,19.1,23.8,16.6,1.7,2.8,41.1,162-284,0.57,8.7,'53-161',0.329,2019
23,Sr,'6-9',Cameron Johnson,North Carolina,ACC,74.6,5.3,12.1,128.9,20.7,62,64.7,6.5,13.4,13.8,12.8,1.1,2.1,26.3,115-208,0.553,10.3,'96-210',0.457,2019
24,Sr,'6-8',Dylan Windler,Belmont,OVC,83.7,5.3,10.5,126.6,24.7,64.9,68,6.8,27.2,13.4,13.6,1.7,2.4,30.5,142-215,0.66,11.4,'97-228',0.425,2019
25,Jr,'6-2',Myles Powell,Seton Hall,BE,88.9,5.2,9.5,112,29.5,54.2,59.2,2.4,10.3,18.4,15.8,0.6,3.2,36.5,145-269,0.539,13.7,'107-295',0.363,2019
