Rk,Class Year,Height,Player,Team,Conf_x,Min%,PRPG!,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,2-point field goal percentage,3P/100,3P,3-point field goal percentage,Year,Rk_ranking,Conf_y,G,Rec,AdjOE,AdjDE,Barthag,Eff. FG% - EFG%,Eff. FG% - EFGD%,Turnover% - TOR,Turnover% - TORD,Rebound% - ORB,Rebound% - DRB,FT Rate - FTR,FT Rate - FTRD,2-Pt % - 2P%,2-Pt % - 2P%D,3-Pt % - 3P%,3-Pt % - 3P%D,3P Rate - 3PR,3P Rate - 3PRD,Adj T.,WAB,Seed,Result,Rk_stats,Adj. Eff. - Off.,Adj. Eff. - Def.,Eff. FG% - Off.,Eff. FG% - Def.,Turnover% - Off.,Turnover% - Def.,Off. Reb% - Off.,Off. Reb% - Def.,FT Rate - Off.,FT Rate - Def.,FT% - Off.,FT% - Def.,2P% - Off.,2P% - Def.,3P% - Off.,3P% - Def.
1,Fr,'6-7',Zion Williamson,Duke,ACC,64.9,6.8,18.7,129.2,28.2,70.8,70.2,12.8,18.0,15.0,15.2,5.8,3.9,46.7,272-364,0.747,3.9,'24-71',0.338,2019,5,ACC,38,'32-6',119.6,90.4,0.9618,53.6,45.0,17.5,19.4,35.6,29.5,33.2,24.0,58.0,45.0,30.8,29.9,37.3,35.0,72.2,11.2,1.0,Elite Eight,8,119.6,90.4,53.6,45.0,17.5,19.4,35.6,29.5,33.2,24.0,68.6,69.6,58.0,45.0,30.8,29.9
2,Jr,'6-1',Cassius Winston,Michigan St,B10,83.3,6.6,9.6,120.0,29.5,54.0,59.1,1.3,7.9,44.8,17.5,0.3,1.8,36.7,159-317,0.502,9.5,'84-211',0.398,2019,6,B10,39,'32-7',120.6,92.3,0.9561,55.2,43.9,18.5,14.9,33.9,26.4,33.6,27.5,54.3,41.9,37.8,31.6,37.8,37.2,67.1,10.6,2.0,Final Four,7,120.6,92.3,55.2,43.9,18.5,14.9,33.9,26.4,33.6,27.5,75.3,67.9,54.3,41.9,37.8,31.6
3,Sr,'5-9',Chris Clemons,Campbell,BSth,93.9,6.5,8.0,115.6,37.4,53.6,59.9,2.5,14.0,19.4,10.8,1.0,2.5,42.5,149-266,0.56,19.4,'128-370',0.346,2019,187,BSth,33,'20-13',107.9,109.8,0.452,52.8,54.6,14.8,19.5,23.7,28.9,31.2,36.0,54.8,53.6,33.8,37.3,48.3,41.9,65.6,-7.2,,,110,107.9,109.8,52.8,54.6,14.8,19.5,23.7,28.9,31.2,36.0,75.2,73.9,54.8,53.6,33.8,37.3
4,So,'6-3',Ja Morant,Murray St,OVC,93.5,6.4,10.0,115.6,36.0,54.7,60.8,4.1,12.6,51.4,22.0,2.2,2.4,51.0,194-356,0.545,7.3,'56-152',0.368,2019,59,OVC,33,'28-5',111.5,99.6,0.7844,54.8,46.5,17.2,19.4,32.0,30.7,33.5,27.4,56.2,48.3,34.9,28.9,36.6,35.8,68.7,1.3,12.0,R32,48,111.5,99.6,54.8,46.5,17.2,19.4,32.0,30.7,33.5,27.4,73.4,71.9,56.2,48.3,34.9,28.9
5,Jr,'6-7',Grant Williams,Tennessee,SEC,78.6,6.1,11.8,124.5,27.0,58.3,64.7,8.8,17.4,18.3,15.2,5.3,2.0,63.7,215-361,0.596,2.2,'14-44',0.318,2019,10,SEC,37,'31-6',123.5,96.5,0.9447,55.3,48.1,15.8,18.0,31.6,30.2,33.3,34.9,55.4,44.7,36.7,35.4,32.2,40.2,67.3,9.8,2.0,Sweet Sixteen,3,123.5,96.5,55.3,48.1,15.8,18.0,31.6,30.2,33.3,34.9,75.8,65.5,55.4,44.7,36.7,35.4
6,Sr,'6-2',Justin Wright-Foreman,Hofstra,CAA,92.8,6.1,6.0,120.7,31.5,59.6,63.7,1.2,11.4,17.6,13.2,0.6,1.4,32.1,217-382,0.568,11.6,'108-254',0.425,2019,109,CAA,35,'27-8',115.9,109.5,0.6568,55.9,52.1,13.8,18.3,26.8,29.9,37.7,25.0,54.5,51.5,38.7,35.3,38.8,37.0,67.7,-1.7,,,19,115.9,109.5,55.9,52.1,13.8,18.3,26.8,29.9,37.7,25.0,80.6,70.4,54.5,51.5,38.7,35.3
7,Jr,'6-1',Carsen Edwards,Purdue,B10,87.3,6.0,7.5,108.0,34.8,49.0,54.1,1.3,10.7,18.3,15.5,1.0,2.3,31.4,142-323,0.44,18.2,'135-380',0.355,2019,9,B10,36,'26-10',123.5,95.6,0.9501,53.6,49.0,15.8,18.6,34.5,27.0,29.9,31.7,51.5,47.2,37.4,34.2,45.5,43.2,65.5,6.1,3.0,Elite Eight,4,123.5,95.6,53.6,49.0,15.8,18.6,34.5,27.0,29.9,31.7,71.9,73.2,51.5,47.2,37.4,34.2
8,Jr,'6-1',Jordan Ford,Saint Mary's,WCC,91.9,6.0,7.5,119.9,27.5,55.7,59.5,1.7,7.7,14.9,11.7,0.1,2.1,32.6,185-351,0.527,8.5,'70-170',0.412,2019,34,WCC,34,'22-12',114.1,97.4,0.8606,53.8,48.9,16.2,16.3,31.2,23.0,29.1,29.1,52.3,49.2,37.8,32.1,35.2,31.6,62.4,-0.6,11.0,R64,26,114.1,97.4,53.8,48.9,16.2,16.3,31.2,23.0,29.1,29.1,74.2,73.6,52.3,49.2,37.8,32.1
9,Jr,'5-11',Markus Howard,Marquette,BE,82.8,5.8,7.2,110.7,36.2,52.0,59.0,1.5,11.2,27.3,18.4,0.1,1.8,42.5,132-302,0.437,14.8,'120-298',0.403,2019,37,BE,34,'24-10',112.6,97.0,0.8465,53.5,46.3,19.4,16.6,29.4,26.1,35.1,35.9,50.0,45.1,38.8,32.4,41.7,35.6,68.9,2.8,5.0,R64,37,112.6,97.0,53.5,46.3,19.4,16.6,29.4,26.1,35.1,35.9,75.7,67.9,50.0,45.1,38.8,32.4
10,Sr,'6-9',Mike Daum,South Dakota St,Sum,83.7,5.6,6.5,120.8,32.3,57.4,62.3,8.8,28.0,11.0,11.4,3.6,1.2,41.1,211-366,0.577,9.1,'67-177',0.379,2019,92,Sum,33,'24-9',112.4,105.1,0.683,58.5,50.2,16.3,15.6,23.9,22.7,31.9,23.7,56.2,48.8,41.2,34.5,41.3,48.1,70.8,-3.3,,,40,112.4,105.1,58.5,50.2,16.3,15.6,23.9,22.7,31.9,23.7,77.3,68.2,56.2,48.8,41.2,34.5
11,Jr,'6-8',Brandon Clarke,Gonzaga,WCC,70.2,5.6,15.4,134.3,24.0,69.3,69.9,13.9,19.7,12.1,12.7,10.8,2.3,42.0,253-359,0.705,0.8,'4-15',0.267,2019,1,WCC,37,'33-4',124.4,91.0,0.9732,59.0,44.2,14.9,19.0,31.5,26.8,35.3,25.9,61.4,43.4,36.3,30.4,35.3,34.9,70.3,7.2,1.0,Elite Eight,1,124.4,91.0,59.0,44.2,14.9,19.0,31.5,26.8,35.3,25.9,76.1,69.7,61.4,43.4,36.3,30.4
