Team,Year,player_BPM_mean,player_BPM_max,player_BPM_std,player_BPM_count,player_ORtg_mean,player_ORtg_max,player_ORtg_min,player_PRPG!_mean,player_PRPG!_max,player_PRPG!_sum,player_Usg_mean,player_Usg_max,player_Usg_sum,player_eFG_mean,player_eFG_max,player_TS_mean,player_TS_max,player_Min%_sum,player_Min%_max,player_Ast_mean,player_Ast_max,player_TO_mean,player_Blk_mean,player_Blk_max,player_Stl_mean,player_Stl_max,player_Class Year_<lambda>
Akron,2020,8.0,8.0,,1,123.7,123.7,123.7,6.0,6.0,6.0,26.8,26.8,26.8,58.7,58.7,63.8,63.8,86.3,86.3,29.2,29.2,14.5,0.1,0.1,1.5,1.5,0
Akron,2021,4.5,4.5,,1,109.5,109.5,109.5,5.1,5.1,5.1,33.3,33.3,33.3,46.7,46.7,52.9,52.9,88.1,88.1,35.5,35.5,15.4,0.1,0.1,1.6,1.6,1
Akron,2023,8.0,8.0,,1,121.9,121.9,121.9,5.5,5.5,5.5,29.4,29.4,29.4,54.4,54.4,62.3,62.3,79.4,79.4,19.0,19.0,13.5,0.2,0.2,1.7,1.7,1
Akron,2024,7.9,7.9,,1,118.4,118.4,118.4,4.6,4.6,4.6,28.1,28.1,28.1,61.1,61.1,64.5,64.5,81.8,81.8,10.9,10.9,17.3,5.9,5.9,1.4,1.4,1
Alabama,2023,11.0,11.0,,1,117.0,117.0,117.0,4.9,4.9,4.9,25.0,25.0,25.0,53.3,53.3,58.3,58.3,80.0,80.0,12.7,12.7,14.7,2.4,2.4,1.5,1.5,0
Alabama,2024,10.3,10.3,,1,129.1,129.1,129.1,6.6,6.6,6.6,25.6,25.6,25.6,60.4,60.4,65.8,65.8,83.6,83.6,21.2,21.2,15.5,0.3,0.3,2.6,2.6,1
Arizona,2022,6.7,6.7,,1,116.9,116.9,116.9,4.6,4.6,4.6,23.5,23.5,23.5,53.7,53.7,57.7,57.7,80.6,80.6,13.8,13.8,12.9,0.8,0.8,1.6,1.6,0
Arizona,2023,8.8,8.8,,1,116.1,116.1,116.1,5.2,5.2,5.2,28.4,28.4,28.4,58.0,58.0,61.4,61.4,75.6,75.6,14.0,14.0,15.3,2.3,2.3,2.1,2.1,0
Arkansas,2020,8.4,8.4,,1,111.9,111.9,111.9,5.4,5.4,5.4,31.6,31.6,31.6,53.3,53.3,61.4,61.4,80.6,80.6,23.0,23.0,16.7,0.5,0.5,2.7,2.7,0
Auburn,2019,6.3,6.3,,1,116.7,116.7,116.7,5.1,5.1,5.1,25.1,25.1,25.1,50.1,50.1,56.0,56.0,82.3,82.3,32.6,32.6,16.9,0.2,0.2,2.0,2.0,0
Austin Peay,2019,6.6,6.6,,1,121.4,121.4,121.4,4.7,4.7,4.7,26.7,26.7,26.7,57.7,57.7,60.2,60.2,83.6,83.6,10.7,10.7,12.0,3.0,3.0,1.7,1.7,0
Austin Peay,2020,6.6,6.6,,1,116.1,116.1,116.1,4.8,4.8,4.8,26.8,26.8,26.8,58.2,58.2,59.3,59.3,91.9,91.9,9.2,9.2,14.2,3.9,3.9,2.1,2.1,0
Austin Peay,2021,5.2,5.2,,1,116.7,116.7,116.7,5.2,5.2,5.2,28.2,28.2,28.2,53.9,53.9,57.5,57.5,92.6,92.6,10.3,10.3,14.9,2.9,2.9,1.9,1.9,1
